Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"144234000","2481400","3270","1107.0",""
"145067000","2481400","3270","1113.7",""
"145907000","2481400","3271","1119.6","0x23D39B7280004808"
"146740000","2481400","3270","1125.5","0x3D39F1C80004870"
"147823000","2481400","3270","1133.8",""
"148715000","2481400","3271","1140.1",""
"149548000","2229800","3271","1146.4",""
"150383000","2229800","3271","1152.3",""
"151218000","2229800","3270","1158.6",""
"152302000","2229800","3270","1166.5",""
"153195000","2229800","3271","1172.8",""
"154028000","2229800","3270","1179.5",""
"154862000","2229800","3270","1185.1",""
"155701000","2229800","3270","1191.8",""
"156784000","2213600","3270","1199.3",""
"157675000","2213600","3270","1206.0",""
"158510000","2213600","3270","1212.3",""
"159344000","2213600","3270","1218.2",""
"160178000","2213600","3270","1224.5",""
"161261000","2213600","3270","1232.0",""
"162153000","2213600","3270","1239.1",""
"162987000","2213600","3270","1245.0","0x23D39B7280004808"
"163820000","2225600","3270","1250.9","0x3D39F1280004870"
"164653000","2225600","3269","1257.6",""
"165742000","2225600","3269","1265.1",""
"166634000","2225600","3269","1272.2",""
"167468000","2225600","3269","1277.8",""
"168302000","2225600","3270","1284.1",""
"169136000","2225600","3269","1290.4","0x23D39B7280004808"
"170212000","2225600","3269","1297.9","0x3D39F2080004870"
"171111000","2246300","3270","1305.0",""
"171946000","2246300","3270","1310.5",""
"172780000","2246300","3270","1317.2",""
"173614000","2246300","3270","1322.7",""
"174699000","2246300","3270","1331.0",""
"175595000","2246300","3270","1337.3","0x23D39B7280004808"
"176429000","2246300","3270","1343.6","0x3D39F3080004870"
"177263000","2246300","3270","1350.0",""
"178098000","2189900","3270","1355.5",""
"179181000","2189900","3270","1364.2",""
"180073000","2189900","3270","1370.1",""
"180907000","2189900","3270","1376.8",""
"181742000","2189900","3270","1382.7","0x23D39B7280004808"
"182580000","2189900","3269","1388.6","0x3D39F0280004870"
"183664000","2189900","3270","1397.3",""
"184556000","2189900","3270","1403.2",""
"185390000","2245900","3270","1409.5",""
"186228000","2245900","3269","1415.4",""
"187063000","2245900","3269","1421.7",""
"188205000","2245900","3269","1430.0","0x23D39B7280004808"
"189038000","2245900","3269","1436.3","0x3D39F1C80004870"
"189872000","2245900","3269","1442.7",""
"190706000","2245900","3269","1448.2",""
"191540000","2245900","3269","1454.9",""
"192623000","2214400","3269","1462.4",""
"193515000","2214400","3269","1469.1",""
"194349000","2214400","3269","1475.4",""
"195183000","2214400","3269","1481.3",""
"196023000","2214400","3270","1488.0",""
"197106000","2214400","3270","1495.1",""
"197998000","2214400","3269","1502.2",""
"198833000","2214400","3269","1508.1",""
"199666000","2240400","3270","1514.5",""
"200500000","2240400","3270","1520.8","0x23D39B7280004808"
"201583000","2240400","3269","1528.3","0x3D39EE680004870"
"202473000","2240400","3269","1535.4",""
"203307000","2240400","3269","1540.9",""
"204140000","2240400","3270","1547.6",""
"204974000","2240400","3270","1553.5","0x23D39B7280004808"
"206122000","2240400","3269","1561.8","0x3D39F1280004870"
"206955000","2230400","3269","1568.1",""
"207789000","2230400","3269","1574.0",""
"208622000","2230400","3269","1580.3",""
"209456000","2230400","3270","1586.2",""
"210540000","2230400","3270","1594.9",""
"211431000","2230400","3270","1602.0",""
"212266000","2230400","3270","1609.1",""
"213099000","2230400","3270","1615.9",""
"213933000","2365000","3270","1622.6",""
"215017000","2365000","3270","1631.2","0x3D3B8A2C0004870"
"215915000","2365000","3270","1638.3","0x3D3923880004870"
"216748000","2365000","3270","1644.7",""
"217582000","2365000","3270","1651.0",""
"218417000","2365000","3270","1657.7",""
"219558000","2365000","3270","1666.4",""
"220391000","2370200","3270","1673.1",""
"221226000","2370200","3270","1679.4",""
"222060000","2370200","3270","1685.7",""
"222894000","2370200","3270","1692.4",""
"223970000","2370200","3271","1700.7",""
"224875000","2370200","3271","1707.8",""
"225714000","2370200","3271","1714.1",""
"226548000","2370200","3270","1720.4","0x3D3B8A2C0004870"
"227381000","2343700","3271","1727.1",""
"228465000","2343700","3271","1735.4","0x3D3926480004870"
"229356000","2343700","3271","1742.1",""
"230190000","2343700","3271","1748.4",""
"231024000","2343700","3272","1754.8",""
"231858000","2343700","3271","1761.1",""
"232940000","2343700","3272","1769.4",""
"233832000","2343700","3272","1776.5",""
"234666000","2314400","3271","1782.8",""
"235506000","2314400","3272","1789.1",""
"236340000","2314400","3272","1795.4",""
"237424000","2314400","3271","1803.7",""
"238315000","2314400","3272","1810.8",""
"239148000","2314400","3272","1817.1",""
"239982000","2314400","3272","1823.4",""
"240816000","2314400","3271","1829.7",""
"241900000","2313900","3271","1838.0",""
"242793000","2313900","3272","1844.7",""
"243627000","2313900","3272","1851.0",""
"244460000","2313900","3272","1857.3",""
"245295000","2313900","3272","1863.7","0x3D3B88C80004870"
"246376000","2313900","3273","1871.9",""
"247275000","2313900","3273","1878.7",""
"248110000","2313900","3273","1885.0",""
"248944000","2223300","3273","1889.7",""
"249778000","2223300","3273","1894.0",""
"250919000","2223300","3273","1900.3",""
"251753000","2223300","3273","1905.0",""
"252587000","2223300","3274","1911.7",""
"253421000","2223300","3273","1918.5",""
"254253000","2223300","3273","1925.6",""
"255337000","2223300","3273","1934.2",""
"256233000","2147700","3273","1941.4",""
"257068000","2147700","3273","1948.5",""
"257902000","2147700","3272","1955.2",""
"258736000","2147700","3273","1961.1",""
"259820000","2147700","3273","1969.0",""
"260713000","2147700","3273","1975.7",""
"261547000","2147700","3273","1981.6",""
"262380000","2147700","3273","1988.3",""
"263214000","2277700","3273","1993.8",""
"264296000","2277700","3272","2002.1",""
"265189000","2277700","3272","2008.0",""
"266028000","2277700","3272","2014.7",""
"266868000","2277700","3272","2021.0","0x23D39B7280004808"
"267701000","2277700","3272","2026.6","0x3D39F0E80004870"
"268785000","2277700","3272","2035.3",""
"269678000","2277700","3271","2041.2",""
"270510000","2244800","3271","2047.9",""
"271344000","2244800","3272","2053.4","0x23D39B7280004808"
"272178000","2244800","3271","2059.7","0x3D3BD3280004870"
"273261000","2244800","3271","2068.0",""
"274153000","2244800","3271","2074.3",""
