Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"48137000","2308800","3271","391.3",""
"49220000","2308800","3271","399.2",""
"50118000","2213700","3271","405.9",""
"50951000","2213700","3271","412.2",""
"51784000","2213700","3271","418.5",""
"52619000","2213700","3271","424.4",""
"53702000","2213700","3271","432.3",""
"54594000","2213700","3271","438.6",""
"55428000","2213700","3270","445.0",""
"56261000","2213700","3271","451.3",""
"57095000","2227200","3271","457.2",""
"58177000","2227200","3270","465.5",""
"59069000","2227200","3270","472.6",""
"59902000","2227200","3270","479.3",""
"60742000","2227200","3270","486.0",""
"61576000","2227200","3270","492.3",""
"62660000","2227200","3270","500.2",""
"63552000","2227200","3270","506.9",""
"64386000","2312400","3270","512.8",""
"65220000","2312400","3270","519.1",""
"66054000","2312400","3270","525.0",""
"67129000","2312400","3270","532.9",""
"68033000","2312400","3270","539.2",""
"68866000","2312400","3269","546.0",""
"69702000","2312400","3269","551.9",""
"70541000","2312400","3269","557.8",""
"71684000","2227700","3269","566.5",""
"72518000","2227700","3269","572.4",""
"73351000","2227700","3269","578.3","0x3D3BD3AC0004870"
"74185000","2227700","3269","584.6","0x3D39B0680004870"
"75018000","2227700","3269","590.9",""
"76102000","2227700","3269","598.8",""
"76993000","2227700","3269","605.1",""
"77825000","2227700","3268","611.0",""
"78660000","2244900","3269","618.1",""
"79494000","2244900","3269","624.9",""
"80583000","2244900","3269","633.5",""
"81474000","2244900","3269","640.2",""
"82308000","2244900","3269","646.6","0x23D39B7280004808"
"83142000","2244900","3269","652.5","0x3D39F1680004870"
"83976000","2244900","3269","658.4",""
"85117000","2244900","3269","666.7",""
"85951000","2279200","3268","673.0",""
"86784000","2279200","3269","678.9",""
"87618000","2279200","3269","685.2",""
"88450000","2279200","3268","691.5",""
"89591000","2279200","3269","699.8",""
"90431000","2279200","3269","705.7",""
"91264000","2279200","3269","711.6",""
"92098000","2279200","3269","718.0",""
"92932000","2226000","3268","724.3",""
"94016000","2226000","3269","732.2",""
"94908000","2226000","3269","738.5",""
"95743000","2226000","3269","744.8",""
"96577000","2226000","3269","750.7",""
"97410000","2226000","3269","757.0",""
"98495000","2226000","3270","765.3",""
"99386000","2226000","3269","772.4",""
"100226000","2294900","3269","779.5","0x3D3BC6C80004970"
"101060000","2294900","3270","785.8","0x3D39F2080004870"
"101895000","2294900","3269","792.1",""
"102978000","2294900","3270","800.0",""
"103870000","2294900","3270","806.3",""
"104704000","2294900","3271","812.2",""
"105537000","2294900","3270","819.0","0x23D39B7280004808"
"106372000","2294900","3270","824.9","0x3D39F1680004870"
"107513000","2231200","3270","833.2",""
"108347000","2231200","3270","839.1",""
"109181000","2231200","3270","845.0",""
"110020000","2231200","3270","851.3",""
"110859000","2231200","3270","857.6",""
"111943000","2231200","3271","865.9",""
"112835000","2231200","3270","872.2",""
"113668000","2231200","3271","878.1",""
"114502000","2206100","3271","884.0",""
"115336000","2206100","3270","890.4",""
"116478000","2206100","3270","898.6",""
"117312000","2206100","3270","904.9","0x23D39B7280004808"
"118146000","2206100","3270","911.3","0x3D3B1A080004870"
"118980000","2206100","3270","918.0",""
"119814000","2206100","3271","924.7",""
"120886000","2206100","3270","933.4",""
"121787000","2314400","3270","939.7",""
"122620000","2314400","3270","945.6",""
"123455000","2314400","3271","952.3",""
"124289000","2314400","3271","958.2",""
"125431000","2314400","3270","966.5",""
"126264000","2314400","3270","972.4",""
"127097000","2314400","3270","978.7",""
"127931000","2314400","3270","984.6",""
"128765000","2226800","3270","991.0",""
"129849000","2226800","3271","998.8",""
"130747000","2226800","3270","1005.6",""
"131581000","2226800","3270","1011.5",""
"132415000","2226800","3271","1017.4",""
"133249000","2226800","3271","1023.7",""
"134391000","2226800","3271","1032.0",""
"135225000","2226800","3271","1038.3",""
"136059000","2228800","3271","1044.6",""
"136893000","2228800","3271","1050.5",""
"137728000","2228800","3272","1056.4",""
"138811000","2228800","3271","1065.5",""
"139703000","2228800","3271","1072.6",""
"140542000","2228800","3271","1079.3",""
"141376000","2228800","3271","1085.6",""
"142210000","2228800","3271","1092.0",""
"143294000","2313900","3271","1099.8",""
"144186000","2313900","3271","1106.2",""
"145019000","2313900","3272","1112.1",""
"145853000","2313900","3272","1118.0",""
"146686000","2313900","3271","1124.3",""
"147829000","2313900","3271","1132.6",""
"148662000","2313900","3270","1138.9","0x3D39B0680004870"
"149496000","2313900","3270","1144.8","0x3D39EF680004870"
"150336000","2206700","3271","1151.1",""
"151170000","2206700","3271","1157.0",""
"152258000","2206700","3271","1164.9","0x3D3BD3AC0004870"
"153151000","2206700","3271","1171.6","0x3D39B8080004870"
"153985000","2206700","3271","1178.0",""
"154818000","2206700","3271","1183.9",""
"155652000","2206700","3271","1189.8",""
"156793000","2206700","3271","1198.5","0x3D3BD3AC0004870"
"157627000","2213300","3271","1204.4","0x3D3B18480004870"
"158460000","2213300","3271","1211.1",""
"159294000","2213300","3270","1217.8",""
"160133000","2213300","3271","1224.5",""
"161216000","2213300","3271","1232.8",""
"162109000","2213300","3271","1239.5",""
"162943000","2213300","3271","1245.4",""
"163777000","2213300","3271","1251.3",""
"164610000","2311600","3271","1257.6",""
"165694000","2311600","3271","1265.5",""
"166585000","2311600","3271","1272.2",""
"167419000","2311600","3271","1278.2",""
"168252000","2311600","3271","1284.5",""
"169087000","2311600","3270","1290.4",""
"170234000","2311600","3271","1298.7",""
"171068000","2311600","3271","1304.6",""
"171901000","2229600","3270","1311.3","0x3D39B6E80004878"
"172735000","2229600","3270","1317.2","0x3D39F2080004870"
"173569000","2229600","3270","1323.1",""
"174646000","2229600","3270","1331.0",""
"175545000","2229600","3270","1337.7","0x3D3BD36C0004870"
"176379000","2229600","3270","1343.6","0x3D39EEA80004870"
"177214000","2229600","3270","1350.4",""
"178048000","2229600","3271","1356.3",""
"179190000","2263700","3270","1365.7",""
"180024000","2263700","3270","1372.5",""
"180864000","2263700","3270","1379.2",""
"181698000","2263700","3270","1385.1",""
"182531000","2263700","3270","1391.0",""
"183615000","2263700","3270","1398.9",""
"184507000","2263700","3270","1405.6","0x23D39B7280004808"
"185341000","2263700","3271","1411.9",""
"186175000","2259000","3270","1417.8","0x3D39F3080004870"
"187008000","2259000","3270","1423.7",""
"188150000","2259000","3270","1432.4",""
"188984000","2259000","3270","1438.3",""
"189817000","2259000","3270","1444.6",""
"190657000","2259000","3270","1451.0",""
"191491000","2259000","3271","1456.9",""
"192575000","2259000","3271","1464.8",""
"193466000","2213300","3271","1471.1",""
"194305000","2213300","3271","1477.0",""
"195139000","2213300","3271","1483.3","0x23D39B7280004808"
"195972000","2213300","3270","1489.6","0x3D39F2C80004870"
"197055000","2213300","3270","1497.5",""
"197947000","2213300","3271","1504.2",""
"198781000","2213300","3271","1510.9",""
"199614000","2213300","3271","1517.6",""
"200454000","2310100","3271","1524.3",""
"201595000","2310100","3271","1532.6",""
"202429000","2310100","3271","1538.9",""
"203262000","2310100","3271","1545.2",""
"204096000","2310100","3272","1551.2",""
"204930000","2310100","3271","1557.1",""
"206012000","2310100","3271","1565.0",""
"206904000","2310100","3271","1571.7",""
"207739000","2215100","3271","1577.6",""
"208573000","2215100","3271","1583.9",""
"209405000","2215100","3271","1590.2",""
"210495000","2215100","3271","1598.1",""
"211385000","2215100","3271","1604.4",""
"212219000","2215100","3271","1610.3",""
"213052000","2215100","3271","1616.6",""
"213885000","2215100","3271","1623.0",""
"214969000","2231900","3271","1630.8","0x23D39B7280004808"
"215861000","2231900","3271","1637.6","0x3D3BD3E80004870"
"216694000","2231900","3271","1643.5",""
"217528000","2231900","3271","1649.4",""
"218363000","2231900","3271","1656.1",""
"219446000","2231900","3271","1664.8",""
"220341000","2231900","3271","1671.9",""
"221175000","2231900","3272","1678.2",""
"222008000","2310300","3271","1684.5",""
"222842000","2310300","3271","1690.4",""
"223984000","2310300","3271","1698.7","0x3D3BD36C0004870"
"224818000","2310300","3271","1705.0","0x3D3BD2C80004870"
"225652000","2310300","3272","1710.9",""
"226486000","2310300","3272","1717.2","0x23D39B7280004808"
"227320000","2310300","3272","1723.6","0x3D3BD2880004870"
"228461000","2310300","3272","1731.8","0x23D39B7280004808"
"229295000","2214700","3272","1737.8","0x3D39F4480004870"
"230134000","2214700","3272","1743.7",""
"230968000","2214700","3271","1749.6",""
"231801000","2214700","3271","1756.3",""
"232942000","2214700","3271","1764.6",""
"233776000","2214700","3272","1770.5",""
"234610000","2214700","3271","1776.8",""
"235444000","2214700","3271","1782.7",""
"236282000","2206700","3271","1788.6",""
"237366000","2206700","3271","1796.5",""
"238258000","2206700","3271","1803.6",""
"239092000","2206700","3271","1810.3",""
"239926000","2206700","3271","1817.1",""
"240765000","2206700","3271","1823.8",""
"241906000","2206700","3271","1832.1",""
"242739000","2206700","3271","1838.4",""
"243573000","2312400","3270","1844.3",""
"244407000","2312400","3271","1850.6",""
"245241000","2312400","3271","1856.9",""
"246382000","2312400","3271","1865.2",""
"247216000","2312400","3271","1871.1",""
"248051000","2312400","3271","1877.0",""
"248884000","2312400","3270","1883.3",""
"249718000","2312400","3271","1889.3","0x23D39B7280004808"
"250799000","2216800","3271","1897.1",""
"251697000","2216800","3270","1904.2",""
"252532000","2216800","3270","1910.2","0x3D39F2280004870"
"253366000","2216800","3270","1916.1",""
"254200000","2216800","3271","1922.0",""
"255341000","2216800","3270","1930.7",""
"256175000","2216800","3270","1936.6","0x3D39B7480004870"
"257008000","2216800","3271","1942.9",""
"257842000","2240400","3270","1949.2",""
"258676000","2240400","3270","1955.9",""
"259760000","2240400","3270","1964.6",""
"260656000","2240400","3271","1971.7",""
"261490000","2240400","3270","1977.6",""
"262324000","2240400","3270","1983.9",""
"263158000","2240400","3270","1990.3",""
"264299000","2240400","3270","1998.5","0x23D39B7280004808"
"265134000","2295500","3271","2004.5","0x3D3BD2A80004870"
"265966000","2295500","3270","2010.8",""
"266800000","2295500","3270","2016.7",""
"267634000","2295500","3270","2022.6",""
"268718000","2295500","3270","2030.5",""
"269609000","2295500","3270","2037.2",""
"270449000","2295500","3270","2043.5",""
"271284000","2295500","3270","2049.4","0x3D3BD36C0004870"
"272117000","2208200","3269","2055.3","0x3D39EF680004870"
"273201000","2208200","3269","2063.2",""
"274092000","2208200","3269","2069.9",""
"274925000","2208200","3269","2076.2",""
"275760000","2208200","3269","2082.2",""
"276594000","2208200","3270","2088.5",""
"277751000","2208200","3270","2096.8",""
"278584000","2208200","3269","2103.9",""
"279417000","2292800","3269","2110.6",""
"280257000","2292800","3269","2117.3",""
"281091000","2292800","3270","2123.6",""
"282175000","2292800","3270","2131.5",""
"283067000","2292800","3270","2138.2",""
"283902000","2292800","3270","2144.1",""
"284736000","2292800","3270","2150.0",""
"285570000","2292800","3270","2155.9",""
"286652000","2230700","3270","2163.8",""
"287544000","2230700","3270","2170.5",""
"288378000","2230700","3270","2176.8",""
"289212000","2230700","3270","2182.8",""
"290045000","2230700","3270","2189.1",""
"291191000","2230700","3270","2197.4",""
"292024000","2230700","3270","2203.3",""
"292858000","2230700","3269","2209.6",""
"293692000","2241500","3270","2215.9",""
"294526000","2241500","3270","2221.8",""
"295666000","2241500","3270","2230.1","0x3D3BD3AC0004870"
"296501000","2241500","3270","2236.0","0x3D39F2080004870"
"297334000","2241500","3270","2242.3",""
"298168000","2241500","3270","2249.0",""
"299001000","2241500","3270","2255.8",""
"300148000","2241500","3271","2264.4",""
"300983000","2279400","3271","2270.7",""
"301817000","2279400","3271","2277.1",""
"302651000","2279400","3271","2283.4",""
"303490000","2279400","3271","2290.1",""
"304566000","2279400","3271","2298.4",""
"305467000","2279400","3271","2305.5",""
"306301000","2279400","3271","2311.8",""
"307133000","2279400","3271","2317.7",""
"307968000","2259200","3270","2322.8",""
"309109000","2259200","3271","2331.9",""
"309942000","2259200","3270","2338.6",""
"310781000","2259200","3270","2344.5",""
"311615000","2259200","3271","2350.4",""
"312447000","2259200","3270","2356.8",""
"313590000","2259200","3270","2365.0",""
"314424000","2259200","3270","2371.3",""
"315257000","2263200","3270","2377.3",""
"316091000","2263200","3270","2383.6",""
"316926000","2263200","3271","2389.5",""
"318009000","2263200","3271","2397.4",""
"318901000","2263200","3271","2403.7",""
"319739000","2263200","3270","2410.4",""
"320579000","2263200","3270","2416.3",""
"321414000","2263200","3271","2422.2",""
"322555000","2227700","3270","2430.9",""
"323390000","2227700","3270","2436.8",""
"324224000","2227700","3270","2442.7",""
"325057000","2227700","3271","2449.1","0x23D39B7280004808"
"325892000","2227700","3271","2455.4","0x3D39F4680004870"
"326975000","2227700","3271","2463.3",""
"327867000","2227700","3270","2470.4",""
"328701000","2227700","3270","2477.1",""
"329535000","2295600","3270","2483.8",""
"330374000","2295600","3271","2489.7",""
"331457000","2295600","3270","2497.6",""
"332348000","2295600","3270","2504.3",""
"333181000","2295600","3270","2510.6",""
"334014000","2295600","3270","2516.5",""
"334847000","2295600","3270","2522.8",""
"335930000","2295600","3270","2530.7",""
"336821000","2214700","3270","2537.0",""
"337655000","2214700","3270","2543.3",""
"338489000","2214700","3270","2549.7",""
"339323000","2214700","3271","2555.6",""
"340470000","2214700","3270","2563.9",""
"341304000","2214700","3271","2569.8",""
"342137000","2214700","3271","2576.1",""
"342971000","2214700","3271","2582.0",""
"343805000","2225200","3271","2588.3",""
"344947000","2225200","3270","2596.6",""
"345780000","2225200","3270","2602.9",""
"346614000","2225200","3270","2608.8",""
"347449000","2225200","3271","2615.5",""
"348283000","2225200","3271","2622.3",""
"349424000","2225200","3271","2631.3",""
"350264000","2225200","3271","2637.2",""
"351098000","2311600","3270","2644.0","0x23D39B7280004808"
"351932000","2311600","3271","2649.9","0x3D39F0480004870"
"352766000","2311600","3271","2655.8",""
"353907000","2311600","3271","2664.1",""
"354740000","2311600","3271","2670.0",""
"355574000","2311600","3271","2676.3",""
"356408000","2311600","3271","2682.6",""
"357241000","2311600","3272","2688.5",""
"358309000","2204700","3272","2696.4",""
"359209000","2204700","3272","2702.7",""
"360041000","2204700","3271","2709.0",""
"360882000","2204700","3271","2715.0",""
"361721000","2204700","3271","2721.3","0x23D39B7280004808"
"362863000","2204700","3272","2729.6","0x3D39B1E80004870"
"363696000","2204700","3271","2735.9",""
"364531000","2204700","3271","2741.8",""
"365364000","2202600","3271","2747.7","0x3D3BD36C0004870"
"366197000","2202600","3271","2754.0","0x23D39B7280004800"
"367281000","2202600","3271","2762.3","0x3D3B15880004870"
"368172000","2202600","3271","2769.4",""
"369004000","2202600","3271","2776.1",""
"369837000","2202600","3271","2782.8",""
"370676000","2202600","3271","2788.7","0x3D3BD3AC0004870"
"371817000","2202600","3271","2797.0","0x3D3BD3C80004870"
"372650000","2297300","3271","2802.9",""
"373484000","2297300","3271","2809.2",""
"374319000","2297300","3271","2815.6","0x3D39B9A80004870"
"375153000","2297300","3271","2821.5",""
"376295000","2297300","3271","2830.2",""
"377129000","2297300","3271","2836.1",""
"377963000","2297300","3271","2842.0",""
"378797000","2297300","3271","2847.9",""
"379631000","2243500","3271","2854.6",""
"380719000","2243500","3271","2862.5",""
"381611000","2243500","3271","2868.8",""
"382445000","2243500","3270","2875.1",""
"383279000","2243500","3270","2881.0",""
"384112000","2243500","3270","2887.0",""
"385254000","2243500","3270","2895.2",""
"386088000","2243500","3270","2901.6","0x23D39B7280004808"
"386921000","2213300","3270","2907.9","0x3D3B18880004870"
"387756000","2213300","3270","2914.6",""
"388590000","2213300","3270","2921.3",""
"389731000","2213300","3271","2930.4",""
"390571000","2213300","3271","2936.3",""
"391405000","2213300","3270","2942.6",""
"392240000","2213300","3270","2948.5","0x23D39B7280004808"
"393074000","2213300","3271","2954.8",""
"394215000","2295100","3270","2963.1","0x3D39B3280004870"
"395048000","2295100","3270","2969.4",""
"395881000","2295100","3270","2975.3",""
"396715000","2295100","3271","2981.2",""
"397549000","2295100","3270","2987.6",""
"398690000","2295100","3271","2995.8",""
"399524000","2295100","3271","3002.2","0x23D39B7280004808"
"400363000","2295100","3270","3008.5","0x3D39EFE80004870"
"401197000","2225600","3270","3014.4",""
"402031000","2225600","3270","3020.3",""
"403173000","2225600","3270","3028.6",""
"404010000","2225600","3269","3034.9",""
"404845000","2225600","3270","3041.2",""
"405679000","2225600","3270","3047.1",""
"406511000","2225600","3269","3053.4",""
"407595000","2225600","3269","3062.1",""
"408486000","2280000","3270","3069.2","0x3D3BD3AC0004870"
"409320000","2280000","3270","3075.9","0x3D39F1280004870"
"410160000","2280000","3270","3082.2",""
"410995000","2280000","3270","3088.6",""
"412071000","2280000","3270","3096.5",""
"412971000","2280000","3271","3102.8",""
"413805000","2280000","3270","3109.1",""
"414640000","2280000","3270","3115.0",""
"415473000","2258600","3270","3121.3",""
"416557000","2258600","3270","3128.8",""
"417448000","2258600","3270","3135.5",""
"418283000","2258600","3270","3141.8",""
"419117000","2258600","3270","3147.7",""
"419951000","2258600","3270","3153.6",""
"421098000","2258600","3270","3162.3",""
"421933000","2258600","3269","3168.2",""
"422765000","2212900","3270","3174.6",""
"423600000","2212900","3270","3180.9",""
"424434000","2212900","3270","3186.8",""
"425576000","2212900","3270","3195.1",""
"426409000","2212900","3270","3201.0",""
"427243000","2212900","3270","3208.1",""
"428078000","2212900","3270","3214.8",""
"428912000","2212900","3270","3221.5",""
"430054000","2313000","3271","3230.2",""
"430894000","2313000","3271","3236.5",""
"431728000","2313000","3271","3242.4",""
"432561000","2313000","3271","3248.3",""
"433395000","2313000","3271","3254.3",""
"434478000","2313000","3271","3262.1",""
"435369000","2313000","3270","3268.8","0x23D39B7280004808"
"436205000","2313000","3270","3275.2","0x3D39A8680004870"
"437038000","2208000","3270","3281.1",""
"437872000","2208000","3270","3287.0",""
"439012000","2208000","3270","3295.7",""
"439846000","2208000","3270","3301.6",""
"440685000","2208000","3270","3307.9",""
"441519000","2208000","3270","3314.2",""
"442352000","2208000","3270","3320.1",""
"443437000","2208000","3270","3328.0",""
"444328000","2213700","3270","3334.3",""
"445161000","2213700","3270","3340.2",""
"446000000","2213700","3270","3347.0",""
"446834000","2213700","3270","3353.3",""
"447976000","2213700","3270","3362.3",""
"448809000","2213700","3270","3369.1",""
"449643000","2213700","3270","3375.8",""
"450482000","2213700","3270","3381.7",""
"451316000","2326900","3271","3388.0",""
"452400000","2326900","3271","3395.9",""
"453292000","2326900","3271","3402.2",""
"454127000","2326900","3272","3408.5",""
"454960000","2326900","3271","3414.8",""
"455795000","2326900","3271","3420.7",""
"456936000","2326900","3271","3429.0",""
"457770000","2326900","3271","3434.9",""
"458605000","2214100","3271","3441.2","0x23D39B7280004808"
"459439000","2214100","3271","3447.6","0x3D0402E80004870"
"460278000","2214100","3271","3453.5",""
"461419000","2214100","3271","3461.8",""
"462253000","2214100","3271","3468.1",""
"463088000","2214100","3271","3474.0",""
"463921000","2214100","3271","3480.3",""
"464756000","2214100","3271","3486.6",""
"465840000","2230500","3272","3494.5",""
"466731000","2230500","3272","3501.2",""
"467565000","2230500","3272","3507.9",""
"468399000","2230500","3272","3514.6",""
"469232000","2230500","3272","3521.3",""
"470379000","2230500","3272","3529.6",""
"471213000","2230500","3272","3535.5",""
"472047000","2230500","3272","3541.8",""
"472881000","2309400","3272","3548.2",""
"473714000","2309400","3272","3554.1",""
"474797000","2309400","3271","3562.0",""
"475689000","2309400","3271","3568.7",""
"476522000","2309400","3271","3574.6",""
"477356000","2309400","3271","3580.9",""
"478191000","2309400","3271","3587.2",""
"479332000","2309400","3271","3595.5",""
"480171000","2213700","3272","3601.4",""
"481005000","2213700","3272","3607.3",""
"481839000","2213700","3272","3613.6","0x3D39EE680004870"
"482673000","2213700","3272","3620.0",""
"483814000","2213700","3272","3628.2","0x23D39B7280004808"
"484648000","2213700","3272","3634.2","0x3D39F2280004870"
"485483000","2213700","3272","3640.5",""
"486317000","2213700","3272","3646.4",""
"487151000","2260700","3272","3653.5",""
"488232000","2260700","3272","3661.8",""
"489131000","2260700","3272","3669.3",""
"489965000","2260700","3272","3675.2",""
"490805000","2260700","3272","3681.5",""
"491639000","2260700","3272","3687.8",""
"492781000","2260700","3272","3696.1",""
"493615000","2260700","3272","3702.0",""
"494448000","2260900","3272","3707.9",""
"495283000","2260900","3272","3714.2",""
"496117000","2260900","3272","3720.6",""
"497259000","2260900","3272","3728.8",""
"498093000","2260900","3272","3734.8",""
"498927000","2260900","3271","3740.7",""
"499759000","2260900","3272","3746.6",""
"500598000","2260900","3272","3752.9","0x23D39B7280004808"
"501739000","2213500","3272","3761.2","0x3D39B4A80004870"
"502573000","2213500","3272","3767.9","0x23D39B7280004808"
"503407000","2213500","3271","3773.8","0x3D39F3680004870"
"504241000","2213500","3272","3779.7",""
"505076000","2213500","3271","3785.6",""
"506217000","2213500","3271","3794.3",""
"507053000","2213500","3271","3801.0",""
"507886000","2213500","3271","3807.7",""
"508719000","2312400","3271","3814.5","0x3D3BC6C80004970"
"509553000","2312400","3271","3821.2","0x3D39F1880004870"
"510701000","2312400","3271","3829.4",""
"511534000","2312400","3271","3835.4",""
"512368000","2312400","3271","3841.3",""
"513201000","2312400","3271","3847.6",""
"514034000","2312400","3271","3853.9","0x23D39B7280004808"
"515118000","2312400","3271","3861.8","0x3D39B4280004870"
"516009000","2230200","3271","3868.1",""
"516842000","2230200","3271","3874.0",""
"517677000","2230200","3271","3880.3",""
"518511000","2230200","3271","3886.2",""
"519595000","2230200","3271","3894.1",""
"520491000","2230200","3271","3901.2",""
"521325000","2230200","3271","3907.2",""
"522159000","2230200","3271","3913.1",""
"522994000","2207500","3270","3919.0",""
"524075000","2207500","3270","3926.9",""
"524966000","2207500","3270","3933.6",""
"525801000","2207500","3270","3939.9",""
"526634000","2207500","3270","3946.2",""
"527469000","2207500","3271","3952.9",""
"528553000","2207500","3271","3961.6",""
"529449000","2207500","3271","3968.7",""
"530288000","2311100","3270","3974.6",""
"531121000","2311100","3270","3980.5",""
"531955000","2311100","3270","3987.3",""
"533039000","2311100","3270","3995.1",""
"533931000","2311100","3271","4001.4",""
"534765000","2311100","3270","4007.8",""
"535599000","2311100","3270","4013.7",""
"536434000","2311100","3270","4019.6",""
"537575000","2214700","3271","4027.9",""
"538408000","2214700","3270","4034.2",""
"539242000","2214700","3270","4040.5",""
"540081000","2214700","3270","4046.4",""
"540915000","2214700","3270","4052.3",""
"541983000","2214700","3270","4060.2",""
"542884000","2214700","3269","4066.9",""
"543718000","2214700","3270","4073.2","0x23D39B7280004808"
"544552000","2227400","3270","4079.2","0x3D39F3A80004870"
"545384000","2227400","3269","4085.5",""
"546526000","2227400","3269","4093.8",""
"547360000","2227400","3270","4100.5",""
"548193000","2227400","3269","4107.2",""
"549026000","2227400","3269","4113.9",""
"549860000","2227400","3269","4120.2",""
"550949000","2227400","3269","4128.1",""
"551840000","2313000","3269","4134.8",""
"552674000","2313000","3270","4140.7","0x3D3BD36C0004870"
"553508000","2313000","3270","4147.0","0x3D39EFA80004870"
"554342000","2313000","3270","4152.9",""
"555485000","2313000","3270","4161.2",""
"556318000","2313000","3270","4167.5",""
"557152000","2313000","3270","4173.8","0x23D39B7280004808"
"557986000","2313000","3270","4179.8","0x3D39EFA80004870"
"558820000","2209400","3271","4185.7",""
"559903000","2209400","3270","4193.6",""
"560799000","2209400","3270","4200.3",""
"561633000","2209400","3271","4206.2",""
"562466000","2209400","3270","4212.5",""
"563299000","2209400","3270","4218.8",""
"564383000","2209400","3271","4226.7",""
"565274000","2209400","3271","4233.0",""
"566108000","2214100","3271","4238.9",""
"566943000","2214100","3271","4246.0",""
"567777000","2214100","3271","4252.4",""
"568861000","2214100","3271","4261.4",""
"569753000","2214100","3271","4268.1",""
"570592000","2214100","3271","4274.5",""
"571432000","2214100","3271","4280.4",""
"572265000","2214100","3271","4286.3",""
"573407000","2309900","3270","4294.6",""
"574240000","2309900","3270","4300.5",""
"575074000","2309900","3270","4307.2",""
"575908000","2309900","3270","4313.1",""
"576742000","2309900","3271","4319.0",""
"577882000","2309900","3270","4327.7",""
"578716000","2309900","3270","4333.6",""
"579550000","2309900","3270","4339.5",""
"580390000","2225400","3271","4345.9",""
"581224000","2225400","3271","4352.2",""
"582366000","2225400","3271","4360.4",""
"583200000","2225400","3271","4366.4",""
"584032000","2225400","3271","4372.7",""
"584866000","2225400","3271","4378.6",""
"585700000","2225400","3271","4384.9",""
"586841000","2225400","3270","4393.6",""
"587673000","2265100","3271","4400.3",""
"588507000","2265100","3271","4407.0",""
"589341000","2265100","3271","4413.7","0x3D39EF480004870"
"590180000","2265100","3271","4420.0","0x3D39F2080004870"
"591264000","2265100","3271","4427.9",""
"592157000","2265100","3271","4434.2",""
"592991000","2265100","3272","4440.5","0x23D39B7280004808"
"593824000","2265100","3272","4446.9","0x3D0402A80004870"
"594659000","2276300","3272","4452.8",""
"595801000","2276300","3272","4461.1",""
"596635000","2276300","3272","4467.0",""
"597469000","2276300","3271","4472.9",""
"598303000","2276300","3271","4479.2",""
"599138000","2276300","3271","4485.5",""
"600227000","2276300","3271","4493.4",""
"601118000","2276300","3271","4500.1",""
"601952000","2212700","3271","4506.0",""
"602786000","2212700","3271","4511.9",""
"603618000","2212700","3270","4518.2","0x23D39B7280004808"
"604761000","2212700","3270","4526.5","0x3D39B3E80004870"
"605593000","2212700","3270","4532.8",""
"606427000","2212700","3270","4539.2",""
"607262000","2212700","3271","4545.9",""
"608096000","2212700","3271","4552.6",""
"609238000","2314000","3271","4561.7",""
"610072000","2314000","3271","4567.6",""
"610911000","2314000","3271","4573.5",""
"611746000","2314000","3271","4580.2",""
