Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","2293000","3254","34.3","0x3D3AEE880004870"
"838000","2293000","3267","41.0",""
"1672000","2293000","3270","47.3",""
"2507000","2293000","3271","53.6","0x23D39B7280004808"
"3340000","2293000","3273","59.5","0x3D39F2680004870"
"4423000","2293000","3270","67.4",""
"5314000","2293000","3270","73.7",""
"6149000","2293000","3271","80.0",""
"6982000","2242800","3273","86.0",""
"7816000","2242800","3270","92.7",""
"8959000","2242800","3270","100.9","0x23D39B7280004808"
"9792000","2242800","3270","106.9","0x3D39F3680004870"
"10631000","2242800","3271","112.8",""
"11465000","2242800","3270","118.7",""
"12299000","2242800","3270","125.0","0x23D39B7280004808"
"13375000","2242800","3270","132.9","0x3D39EA080004870"
"14274000","2229400","3271","139.6",""
"15108000","2229400","3271","145.9",""
"15942000","2229400","3271","151.8","0x3D3BD3AC0004870"
"16775000","2229400","3271","157.7","0x3D3BD2C80004870"
"17860000","2229400","3271","165.6",""
"18751000","2229400","3272","172.7",""
"19584000","2229400","3271","179.5",""
"20422000","2229400","3271","186.6",""
"21256000","2312000","3271","192.9",""
"22340000","2312000","3271","200.8",""
"23232000","2312000","3271","207.1",""
"24066000","2312000","3271","213.4","0x3D3BD3AC0004870"
"24900000","2312000","3272","219.3","0x3D3BD2880004870"
"25734000","2312000","3272","225.6",""
"26823000","2312000","3272","233.5",""
"27715000","2312000","3272","240.2",""
"28549000","2212700","3272","246.1",""
"29382000","2212700","3272","252.0",""
"30222000","2212700","3272","258.4","0x3D39F2E80004870"
"31307000","2212700","3272","265.8",""
"32198000","2212700","3272","272.9",""
"33033000","2212700","3272","278.9",""
"33867000","2212700","3272","285.2",""
"34701000","2212700","3271","291.1",""
"35785000","2213600","3272","299.0",""
"36677000","2213600","3272","305.3",""
"37511000","2213600","3272","311.6","0x23D39B7280004808"
"38345000","2213600","3271","317.9","0x3D3B1B280004870"
"39177000","2213600","3272","324.6",""
"40267000","2213600","3272","333.3",""
"41159000","2213600","3272","340.4",""
"41993000","2213600","3272","346.7",""
"42828000","2308800","3271","352.6",""
"43662000","2308800","3272","358.6",""
"44745000","2308800","3272","366.5",""
"45636000","2308800","3271","373.6",""
"46469000","2308800","3271","379.5",""
"47302000","2308800","3271","385.4",""
