Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","2212700","3273","32.7","0x3D3BD3280004870"
"891000","2212700","3276","39.4","0x3D3BCB0C0004870"
"1725000","2212700","3276","45.3","0x3D3BD7280004870"
"2560000","2212700","3276","51.6",""
"3394000","2212700","3275","57.5",""
"4477000","2212700","3275","65.4",""
"5368000","2212700","3275","72.1","0x3D3BCACC0004870"
"6202000","2212700","3275","78.1","0x3D3BC9280004870"
"7041000","2224200","3275","84.4",""
"7875000","2224200","3275","90.3",""
"8959000","2224200","3275","98.2",""
"9851000","2224200","3275","104.9","0x3D3BCA8C0004870"
"10685000","2224200","3276","110.8",""
"11518000","2224200","3274","117.1","0x3D3BD7480004870"
"12352000","2224200","3273","123.0",""
"13436000","2224200","3273","130.9",""
"14328000","2214500","3273","137.6",""
"15162000","2214500","3274","143.5",""
"15997000","2214500","3274","149.8",""
"16836000","2214500","3274","155.8",""
"17920000","2214500","3273","163.7",""
"18812000","2214500","3273","170.4",""
"19646000","2214500","3273","176.3",""
"20480000","2214500","3273","182.6",""
"21314000","2207300","3273","188.5",""
"22402000","2207300","3273","196.8",""
"23295000","2207300","3273","203.1",""
"24129000","2207300","3274","209.4",""
"24963000","2207300","3274","215.3",""
"25797000","2207300","3274","221.6",""
"26887000","2207300","3274","229.5",""
"27779000","2207300","3274","235.8","0x3D3BCA8C0004870"
"28612000","2227500","3273","242.2","0x3D3BD3E80004870"
"29447000","2227500","3273","248.1",""
"30281000","2227500","3273","254.4",""
"31422000","2227500","3274","262.7",""
"32256000","2227500","3274","268.6",""
"33090000","2227500","3273","274.9",""
"33924000","2227500","3273","280.8",""
"34758000","2227500","3273","287.1",""
"35899000","2214500","3273","295.4","0x3D3BCA8C0004870"
"36739000","2214500","3273","301.3","0x3D3A53880004870"
"37573000","2214500","3273","307.6",""
"38406000","2214500","3273","313.5",""
"39240000","2214500","3273","319.9",""
"40324000","2214500","3273","327.8",""
"41215000","2214500","3273","334.5","0x3D3BCACC0004870"
"42049000","2214500","3273","340.4","0x3D3A52C80004870"
"42883000","2225200","3273","346.7",""
"43716000","2225200","3273","352.6",""
"44799000","2225200","3273","360.5",""
"45690000","2225200","3273","367.2",""
"46524000","2225200","3273","373.1",""
"47364000","2225200","3273","379.4",""
"48198000","2225200","3273","385.3",""
"49281000","2225200","3273","393.2",""
"50173000","2213500","3272","399.9",""
"51007000","2213500","3272","405.9",""
"51842000","2213500","3272","412.2",""
"52675000","2213500","3272","418.1",""
"53815000","2213500","3272","426.4",""
"54649000","2213500","3272","432.7",""
"55484000","2213500","3272","438.6",""
"56318000","2213500","3272","444.9",""
"57158000","2207500","3273","450.8",""
"58242000","2207500","3272","458.7",""
"59132000","2207500","3272","465.4",""
"59966000","2207500","3272","471.3",""
"60800000","2207500","3272","477.6",""
"61635000","2207500","3272","483.6","0x3D3BD3AC0004870"
"62718000","2207500","3272","491.5","0x3D3BC9280004870"
"63614000","2207500","3272","498.2",""
"64449000","2213300","3272","504.1",""
"65283000","2213300","3272","510.4",""
"66117000","2213300","3272","516.3",""
"67205000","2213300","3271","524.2",""
"68098000","2213300","3271","530.9","0x3D3BD36C0004870"
"68932000","2213300","3271","536.8","0x3D3BD7880004870"
"69765000","2213300","3271","543.1",""
"70600000","2213300","3271","549.4",""
"71684000","2230500","3271","557.3",""
"72576000","2230500","3271","563.6",""
"73410000","2230500","3272","569.6",""
"74244000","2230500","3272","575.9",""
"75077000","2230500","3272","581.8",""
"76219000","2230500","3271","590.1",""
"77057000","2230500","3271","596.4",""
"77890000","2230500","3272","602.3",""
"78724000","2207300","3272","608.6",""
"79558000","2207300","3272","614.5",""
"80699000","2207300","3271","623.2",""
"81533000","2207300","3271","629.1",""
"82366000","2207300","3272","635.4",""
"83201000","2207300","3272","641.4",""
"84035000","2207300","3272","647.7",""
"85177000","2207300","3272","655.9",""
"86011000","2214700","3272","661.9",""
"86850000","2214700","3271","668.2",""
"87684000","2214700","3271","674.1",""
"88517000","2214700","3271","680.4",""
"89659000","2214700","3271","688.7",""
"90492000","2214700","3271","694.6","0x3D3BCA8C0004870"
"91327000","2214700","3271","700.9","0x3D3A58680004870"
"92161000","2214700","3271","706.8",""
"92996000","2224800","3271","713.1",""
"94080000","2224800","3271","721.0","0x3D3BCACC0004870"
"94971000","2224800","3271","727.7","0x3D3A4C280004870"
"95806000","2224800","3271","733.7",""
"96645000","2224800","3271","740.0",""
"97479000","2224800","3272","745.9",""
"98555000","2224800","3271","753.8",""
"99454000","2224800","3271","760.5",""
"100288000","2212900","3271","766.4",""
"101121000","2212900","3271","772.7",""
"101956000","2212900","3271","778.6",""
"103097000","2212900","3271","786.9",""
"103930000","2212900","3271","793.2",""
"104763000","2212900","3270","799.1",""
"105602000","2212900","3271","805.5",""
"106436000","2212900","3271","811.8","0x3D3BCACC0004870"
"107582000","2228700","3271","820.0","0x3D3A4FA80004870"
"108416000","2228700","3271","826.0",""
"109250000","2228700","3271","832.3",""
"110085000","2228700","3271","838.2",""
"110918000","2228700","3270","844.5",""
"112060000","2228700","3271","852.8",""
"112893000","2228700","3271","858.7",""
"113728000","2228700","3271","865.0",""
"114563000","2209000","3271","870.9",""
"115397000","2209000","3271","877.2","0x3D3BD3AC0004870"
"116538000","2209000","3271","885.5","0x3D3BD7880004870"
"117378000","2209000","3271","891.4","0x3D3BD7880004870"
"118210000","2209000","3270","897.8",""
"119045000","2209000","3270","903.7",""
"119879000","2209000","3270","910.0",""
"120962000","2209000","3270","917.9",""
"121854000","2229800","3270","924.6",""
"122687000","2229800","3270","930.5",""
"123521000","2229800","3270","936.8",""
"124355000","2229800","3270","942.7",""
"125439000","2229800","3271","950.6",""
"126331000","2229800","3271","956.9",""
"127170000","2229800","3271","963.2",""
"128004000","2229800","3271","969.6",""
"128839000","2207500","3271","975.5",""
"129980000","2207500","3271","983.8",""
"130813000","2207500","3270","990.1",""
"131648000","2207500","3271","996.0",""
"132482000","2207500","3271","1002.3",""
"133316000","2207500","3271","1008.2",""
"134457000","2207500","3271","1016.5",""
"135291000","2207500","3271","1022.8",""
"136124000","2214900","3271","1028.7",""
"136964000","2214900","3271","1035.0",""
"137799000","2214900","3271","1040.9",""
"138940000","2214900","3271","1049.6",""
"139774000","2214900","3271","1055.5",""
"140608000","2214900","3271","1061.9",""
"141442000","2214900","3271","1067.8",""
"142276000","2214900","3271","1074.1",""
"143418000","2229000","3271","1082.4",""
"144252000","2229000","3272","1088.3",""
"145086000","2229000","3271","1094.6","0x3D3BCA8C0004870"
"145920000","2229000","3271","1100.5","0x3D3BD7880004870"
"146759000","2229000","3271","1106.8",""
"147906000","2229000","3271","1115.1",""
"148740000","2229000","3271","1121.4",""
"149575000","2229000","3271","1127.3",""
